"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,8.5807e+08,0,0,0,0,2.2029e+17,-2.1267e+18,-1.9064e+18,3.439e+11,0,0,1.9619e+12,7.8582e+28,19688,0,0,-5.9498e+11,-4.8068e+18,1.3353e+12,0,5.625e+09,3.9291e+32,2.2428e+07,1,0,937.5,1.5e+05,0
0,0,8.5807e+08,0,0,0,0,2.9671e+17,-2.053e+18,-1.7563e+18,3.5687e+11,0,0,1.962e+12,7.5857e+28,19688,0,0,-5.8201e+11,-4.6567e+18,1.3574e+12,0,5.625e+09,3.7929e+32,2.0733e+07,1,3022.1,937.5,1.5e+05,0
0,0,8.5806e+08,0,0,0,0,3.5726e+17,-1.9971e+18,-1.6399e+18,3.6811e+11,0,0,1.962e+12,7.3762e+28,19688,0,0,-5.7077e+11,-4.5403e+18,1.374e+12,0,5.625e+09,3.6881e+32,2.0823e+07,1,5439.8,937.5,1.5e+05,0
0,0,8.5805e+08,0,0,0,0,4.1622e+17,-1.9427e+18,-1.5265e+18,3.7931e+11,0,0,1.9619e+12,7.1723e+28,19688,0,0,-5.5956e+11,-4.4269e+18,1.3899e+12,0,5.625e+09,3.5861e+32,2.1741e+07,1,7857.4,937.5,1.5e+05,0
0,0,8.5805e+08,0,0,0,0,4.7354e+17,-1.8896e+18,-1.4161e+18,3.9046e+11,0,0,1.9618e+12,6.9736e+28,19688,0,0,-5.4841e+11,-4.3165e+18,1.405e+12,0,5.625e+09,3.4868e+32,2.2804e+07,1,10275,937.5,1.5e+05,0
0,0,8.5804e+08,0,0,0,0,5.2925e+17,-1.8379e+18,-1.3086e+18,4.0155e+11,0,0,1.9617e+12,6.7799e+28,19688,0,0,-5.3733e+11,-4.2091e+18,1.4193e+12,0,5.625e+09,3.39e+32,2.3987e+07,1,12693,937.5,1.5e+05,0
0,0,8.5804e+08,0,0,0,0,5.8338e+17,-1.7874e+18,-1.204e+18,4.1258e+11,0,0,1.9616e+12,6.5912e+28,19688,0,0,-5.263e+11,-4.1044e+18,1.433e+12,0,5.625e+09,3.2956e+32,2.5295e+07,1,15110,937.5,1.5e+05,0
0,0,8.5803e+08,0,0,0,0,6.3596e+17,-1.7381e+18,-1.1021e+18,4.2354e+11,0,0,1.9614e+12,6.4073e+28,19688,0,0,-5.1534e+11,-4.0026e+18,1.4461e+12,0,5.625e+09,3.2036e+32,2.6659e+07,1,17528,937.5,1.5e+05,0
0,0,8.5802e+08,0,0,0,0,6.9957e+17,-1.6781e+18,-9.7858e+17,4.3716e+11,0,0,1.9611e+12,6.1838e+28,19688,0,0,-5.0172e+11,-3.879e+18,1.4616e+12,0,5.625e+09,3.0919e+32,2.8262e+07,1,20550,937.5,1.5e+05,0
0,0,8.5802e+08,0,0,0,0,7.488e+17,-1.6315e+18,-8.827e+17,4.4798e+11,0,0,1.9609e+12,6.01e+28,19688,0,0,-4.909e+11,-3.7831e+18,1.4733e+12,0,5.625e+09,3.005e+32,2.9742e+07,1,22968,937.5,1.5e+05,0
0,0,8.5801e+08,0,0,0,0,7.9661e+17,-1.586e+18,-7.8936e+17,4.5874e+11,0,0,1.9607e+12,5.8405e+28,19688,0,0,-4.8014e+11,-3.6898e+18,1.4846e+12,0,5.625e+09,2.9202e+32,3.1252e+07,1,25386,937.5,1.5e+05,0
0,0,8.58e+08,0,0,0,0,8.4303e+17,-1.5415e+18,-6.985e+17,4.6944e+11,0,0,1.9604e+12,5.6752e+28,19688,0,0,-4.6944e+11,-3.5989e+18,1.4953e+12,0,5.625e+09,2.8376e+32,3.249e+07,1,27804,937.5,1.5e+05,0
0,0,8.58e+08,0,0,0,0,8.881e+17,-1.4982e+18,-6.1007e+17,4.8008e+11,0,0,1.9601e+12,5.514e+28,19688,0,0,-4.588e+11,-3.5105e+18,1.5055e+12,0,5.625e+09,2.757e+32,3.371e+07,1,30221,937.5,1.5e+05,0
0,0,8.5799e+08,0,0,0,0,9.3185e+17,-1.4558e+18,-5.2399e+17,4.9065e+11,0,0,1.9598e+12,5.3568e+28,19688,0,0,-4.4823e+11,-3.4244e+18,1.5153e+12,0,5.625e+09,2.6784e+32,3.4996e+07,1,32639,937.5,1.5e+05,0
0,0,8.5799e+08,0,0,0,0,9.7431e+17,-1.4145e+18,-4.402e+17,5.0117e+11,0,0,1.9595e+12,5.2035e+28,19688,0,0,-4.3771e+11,-3.3406e+18,1.5247e+12,0,5.625e+09,2.6017e+32,3.6352e+07,1,35057,937.5,1.5e+05,0
0,0,8.5798e+08,0,0,0,0,1.0256e+18,-1.3642e+18,-3.386e+17,5.1422e+11,0,0,1.9591e+12,5.0171e+28,19688,0,0,-4.2466e+11,-3.239e+18,1.5358e+12,0,5.625e+09,2.5085e+32,3.796e+07,1,38079,937.5,1.5e+05,0
